id,subject,key,datetime,ip,Temperature,Pressure,Humidity,VoC,CO2,Altitude
239926,SPXEGN1TGSB2IKT9 | 1733156361,SPXEGN1TGSB2IKT9,2024-12-03 01:19:21,210.99.114.165,27.78,1016.00,21.51,365.12,18154.90,-22.87
239982,SPXEGN1TGSB2IKT9 | 1733156977,SPXEGN1TGSB2IKT9,2024-12-03 01:29:37,210.99.114.165,27.74,1016.04,21.38,368.40,18507.71,-23.29
240037,SPXEGN1TGSB2IKT9 | 1733157594,SPXEGN1TGSB2IKT9,2024-12-03 01:39:54,210.99.114.165,27.69,1016.05,21.30,371.32,18824.49,-23.29
240088,SPXEGN1TGSB2IKT9 | 1733158165,SPXEGN1TGSB2IKT9,2024-12-03 01:49:25,210.99.114.165,27.64,1016.14,21.21,373.86,19102.36,-24.20
240144,SPXEGN1TGSB2IKT9 | 1733158781,SPXEGN1TGSB2IKT9,2024-12-03 01:59:41,210.99.114.165,27.59,1016.32,21.14,376.86,19433.90,-25.61
240195,SPXEGN1TGSB2IKT9 | 1733159360,SPXEGN1TGSB2IKT9,2024-12-03 02:09:20,210.99.114.165,27.58,1016.51,21.08,379.74,19754.71,-27.27
240252,SPXEGN1TGSB2IKT9 | 1733159975,SPXEGN1TGSB2IKT9,2024-12-03 02:19:35,210.99.114.165,27.53,1016.57,20.97,382.80,20097.24,-27.60
240307,SPXEGN1TGSB2IKT9 | 1733160590,SPXEGN1TGSB2IKT9,2024-12-03 02:29:50,210.99.114.165,27.51,1016.63,20.91,383.68,20196.68,-28.27
240359,SPXEGN1TGSB2IKT9 | 1733161161,SPXEGN1TGSB2IKT9,2024-12-03 02:39:21,210.99.114.165,27.48,1016.73,20.79,388.82,20782.47,-29.02
240413,SPXEGN1TGSB2IKT9 | 1733161778,SPXEGN1TGSB2IKT9,2024-12-03 02:49:38,210.99.114.165,27.44,1016.83,20.74,389.96,20912.93,-29.85
240469,SPXEGN1TGSB2IKT9 | 1733162393,SPXEGN1TGSB2IKT9,2024-12-03 02:59:53,210.99.114.165,27.39,1016.92,20.63,394.11,21392.95,-30.68
240517,SPXEGN1TGSB2IKT9 | 1733162981,SPXEGN1TGSB2IKT9,2024-12-03 03:09:41,210.99.114.165,27.37,1017.03,20.57,388.82,20782.47,-31.51
240566,SPXEGN1TGSB2IKT9 | 1733163558,SPXEGN1TGSB2IKT9,2024-12-03 03:19:18,210.99.114.165,27.36,1017.08,20.44,388.37,20730.56,-31.84
240613,SPXEGN1TGSB2IKT9 | 1733164167,SPXEGN1TGSB2IKT9,2024-12-03 03:29:27,210.99.114.165,27.33,1017.20,20.35,392.02,21151.03,-32.92
240659,SPXEGN1TGSB2IKT9 | 1733164767,SPXEGN1TGSB2IKT9,2024-12-03 03:39:27,210.99.114.165,27.34,1017.21,20.22,388.82,20782.47,-32.92
240707,SPXEGN1TGSB2IKT9 | 1733165399,SPXEGN1TGSB2IKT9,2024-12-03 03:49:59,210.99.114.165,27.30,1017.17,20.14,387.24,20601.59,-32.50
240759,SPXEGN1TGSB2IKT9 | 1733165993,SPXEGN1TGSB2IKT9,2024-12-03 03:59:53,210.99.114.165,27.26,1017.13,20.00,397.40,21777.29,-32.25
240811,SPXEGN1TGSB2IKT9 | 1733166596,SPXEGN1TGSB2IKT9,2024-12-03 04:09:56,210.99.114.165,27.22,1017.04,19.91,400.74,22171.73,-31.42
240854,SPXEGN1TGSB2IKT9 | 1733167173,SPXEGN1TGSB2IKT9,2024-12-03 04:19:33,210.99.114.165,27.18,1017.08,19.88,396.45,21666.47,-31.84
240895,SPXEGN1TGSB2IKT9 | 1733167747,SPXEGN1TGSB2IKT9,2024-12-03 04:29:07,210.99.114.165,27.19,1017.16,19.77,390.42,20965.54,-32.59
240946,SPXEGN1TGSB2IKT9 | 1733168396,SPXEGN1TGSB2IKT9,2024-12-03 04:39:56,210.99.114.165,27.16,1017.01,19.64,397.16,21749.47,-31.17
240993,SPXEGN1TGSB2IKT9 | 1733168995,SPXEGN1TGSB2IKT9,2024-12-03 04:49:55,210.99.114.165,27.11,1016.93,19.60,401.22,22228.89,-30.51
241040,SPXEGN1TGSB2IKT9 | 1733169582,SPXEGN1TGSB2IKT9,2024-12-03 04:59:42,210.99.114.165,27.10,1016.95,19.53,405.62,22753.22,-30.93
241090,SPXEGN1TGSB2IKT9 | 1733170164,SPXEGN1TGSB2IKT9,2024-12-03 05:09:24,210.99.114.165,27.06,1016.97,19.49,407.85,23022.13,-30.93
241144,SPXEGN1TGSB2IKT9 | 1733170799,SPXEGN1TGSB2IKT9,2024-12-03 05:19:59,210.99.114.165,27.02,1016.99,19.45,418.34,24306.83,-31.09
241193,SPXEGN1TGSB2IKT9 | 1733171392,SPXEGN1TGSB2IKT9,2024-12-03 05:29:52,210.99.114.165,26.98,1017.11,19.32,415.99,24016.07,-32.17
241241,SPXEGN1TGSB2IKT9 | 1733171972,SPXEGN1TGSB2IKT9,2024-12-03 05:39:32,210.99.114.165,26.97,1017.19,19.25,422.05,24769.29,-32.83
241283,SPXEGN1TGSB2IKT9 | 1733172572,SPXEGN1TGSB2IKT9,2024-12-03 05:49:32,210.99.114.165,26.95,1017.18,19.18,412.39,23573.79,-32.75
241332,SPXEGN1TGSB2IKT9 | 1733173158,SPXEGN1TGSB2IKT9,2024-12-03 05:59:18,210.99.114.165,26.97,1016.98,18.91,419.39,24437.62,-31.01
